lead_id,attitude,language,text
2a369e35-ca95-4ca9-9e4f-9d27175aa320,positive_engagement,tr,İlgili bir şekilde sorular sorarak sistemimiz hakkında daha fazla bilgi almak istedi. Demo talep etti ve seyahat ve turizm konusundaki çözümlerimizi merak ettiğini belirtti. E-postayı açtığına göre daha fazla bilgi edinmeye istekli görünüyor.
9bc8ce93-6144-49e0-9f9d-080fc980f83c,objection,en,"The conversation highlighted some concerns about pricing and the duration of the program. The engagement was open, but the lead expressed hesitation regarding the overall value for their current situation. Further follow-up may be needed to address these points."
8bf76a52-2478-476b-8618-1688e07874ad,positive_engagement,tr,"Lead, pazarlama yönetimi konusunda daha fazla bilgi almak için birkaç soruyla geri döndü. Ürünümüzü denemek için bir demo talep etti ve ilerlemek için uygun bir zaman belirlemek istediğini belirtti."
88867067-3750-4753-8d33-1c7d1db53b5e,positive_engagement,tr,"Lead, gönderdiğim e-postayı açtı ve içerikle ilgili bazı sorular sordu. Özellikle takip ve demo talep etti; bu konularda daha fazla bilgi almak istediğini belirtti."
a8531c22-fcf1-48f8-a711-fb5abf98ad87,disengaged,en,"The lead has not responded to recent communications and their email has bounced. They visited the site for a moderate duration, but there seems to be a lack of ongoing interest or engagement at this time."
25f4ac14-ff4b-4cd2-9c61-b44c85e19c8f,disengaged,en,"The lead opened the email but did not engage further. There has been no follow-up or response since the last interaction, indicating a lack of interest at this time."
3abb7c77-1634-4083-9a9f-861068220611,disengaged,tr,Olark üzerinden yapılan sohbet sonrası lead ile etkileşim kısıtlı kaldı. Geri dönüş yapmadı ve konuya dair ilgi belirtmedi. Site ziyaret süresi oldukça kısa.
e5c3beca-a0b6-4b3f-8c01-0919fb9ca3f2,neutral,en,The interaction involved a follow-up regarding the email link that was clicked. The lead showed a significant interest by spending a considerable amount of time on the site. Further engagement may be beneficial to understand their needs and expertise area better.
82cb5fb0-2d97-4a39-a630-ab5fe2e7f18c,objection,mix,"Lead, pricing konusunda bazı endişeleri olduğunu belirtti ve içerik hakkında daha fazla bilgi almak istedi. Demo için uygun zamanlama ile ilgili de kafasında soru işaretleri var. Yapılan site ziyareti sonrasında follow-up yapılması gerektiği düşünülüyor."
4512c16a-e96a-4459-b9ec-c7d8fe8c4880,disengaged,tr,"Lead, web sitesini ziyaret etti ancak etkileşim süresi oldukça kısa kaldı. İlgisini çekecek bir geri dönüş veya iletişim kurma belirtisi göstermedi."
c4419c99-b002-408b-a6fd-fa100716592c,neutral,mix,Lead ile iletişim kurmaya çalıştım ancak ulaşamadım. Google üzerinden geldi ve Media and Advertising alanında uzman. Site ziyaret süresi düşük oldu; bu nedenle bir follow-up planlamak iyi olabilir. İlerleyen günlerde tekrar denemek için not ettim.
fd71ab5b-53b8-4105-9960-efedc44962fa,disengaged,en,The interaction was brief and lacked engagement; the lead visited the website but did not show further interest or respond to follow-up attempts.
8fd38b83-5c32-4277-bcfb-499f34a01c56,positive_engagement,tr,"Lead, ürünlerimiz hakkında detaylı bilgi istedi ve özellikle demo talep etti. Görüşme sırasında bankacılık ve yatırım alanındaki ihtiyaçlarıyla ilgili birkaç spesifik soru sordu. İlgisini koruduğu ve daha fazla bilgi almak istediği anlaşılıyor."
ecbc6e69-29a9-44bf-804a-13079ef301bc,objection,tr,"E-posta linkine tıkladıktan sonra, içerikle ilgili bazı sorular sordu ve fiyatlandırma konusuna dikkat etti. Hala bazı belirsizlikleri var gibi görünüyor, ama tekrar iletişim kurmak için istekli."
ecd117ca-375f-49ea-afd6-b52b84d00c69,positive_engagement,mix,"Lead, son e-postayı açtıktan sonra ürünle ilgili bazı detaylı sorular sordu. Marketing Management alanındaki deneyimini paylaşarak demo talep etti ve pricing hakkında bilgi almak istedi. Takip etmek için uygun bir zaman planlamak gerektiğini belirtti."
31c326f0-4a9b-43a6-9006-99d3830fbcae,objection,tr,"Lead, sunduğumuz içerik ve fiyat hakkında bazı belirsizlikler taşıyor. Detayları netleştirmek için ek bilgiye ihtiyaç duyuyor. İletişimimizi sürdürmeye devam edeceğiz."
c494aca4-8c8e-4081-9784-41eb6346015e,objection,tr,"Lead, ürünün fiyatı ve içerikleri konusunda bazı endişeler dile getirdi. Ayrıca, zamanlama ile ilgili tereddütleri var. E-posta üzerinden yapılan iletişimde yanıt vermeye açık ancak temkinli bir yaklaşım sergiliyor."
6d143c0e-abae-425f-a2c0-52c2946cbd45,positive_engagement,tr,"Lead, gönderdiğim e-postayı dikkatlice incelemiş ve içerikle ilgili bazı sorular sormak istediğini belirtti. Ayrıca, hizmetlerimizi daha yakından tanımak için bir demo talep etti. İlgisi ve aktif katılımı oldukça olumlu bir izlenim bıraktı."
8247051c-f838-4a41-b39c-1f0b44c3d5e6,objection,mix,"Lead, fiyatlandırma konusunda bazı endişeleri olduğunu belirtti ve içerikler hakkında daha fazla bilgi istedi. İlerleyen günlerde bir follow-up yapılması gerektiğini düşündüm. Durumu netleştirmek için bir demo ayarlamak faydalı olabilir."
b3455e2e-8236-478a-b1aa-666ad3381722,disengaged,en,"The lead has not responded to recent outreach attempts and shows minimal engagement, as indicated by a brief site visit and lack of follow-up. Further efforts may be needed to rekindle interest."
da8c5ce5-52b5-4a4e-bf75-e533d2aca52c,positive_engagement,mix,"Lead, gönderilen e-postayı açtıktan sonra siteyi uzun süre gezmiş ve bazı konular hakkında sorular sormak için iletişime geçti. Özellikle 'demo' talep etti ve 'pricing' ile ilgili daha fazla bilgi almak istedi. Takip etmemiz gereken bir potansiyel var gibi görünüyor."
d2055a36-b268-43a0-beeb-9a715f6a660d,disengaged,mix,"Son e-posta açıldı ancak geri dönüş yok. Görünüşe göre lead, gönderdiğim bilgilerle fazla ilgilenmiyor; bu nedenle bir follow-up yapmayı düşünebiliriz. Pipeline'da takibime devam edeceğim."
c7d82991-3477-40ca-a616-db2d09228a55,disengaged,en,"The interaction was brief, with the individual showing minimal engagement after visiting the website. There has been no follow-up communication or expressed interest in further discussion."
5af0914a-fa65-48e1-b11e-b44849206dc3,neutral,mix,"Lead, gönderdiğim e-postayı açtı ancak siteye düşük süreyle ziyaret gerçekleştirdi. İlgilerini çekmek için bir follow-up yapmayı planlıyorum ve potansiyel olarak pricing bilgilerini paylaşabilirim."
bc19e116-132c-4e00-a3fa-caa1ddda2f4e,disengaged,tr,"Lead, web sitemizi ziyaret etti ancak etkileşimi çok sınırlı kaldı ve sonraki adımlar hakkında net bir geri dönüş yapmadı. İlgisini artırmak için daha fazla bilgi sağlamak gerekebilir."
30422ea1-36fe-465e-9e68-41ee190fefb3,positive_engagement,en,The lead showed interest by asking specific questions about our offerings related to Human Resource Management. They expressed a desire for a follow-up demo to explore how our solutions could meet their needs.
a8ecfc52-9988-498a-9a21-df747891b847,disengaged,mix,Son iletişimde geri dönüş alamadım ve şimdiye kadar yapılan tüm 'follow-up' denemeleri yanıtlanmadı. Siteyi uzun süre gezmiş ama bu süreçte herhangi bir ilgi belirtmediği görünüyor. İlerleyen günlerde tekrar denemek gerekebilir.
e60a54bc-0816-430e-a99a-019a8b5a27e5,disengaged,en,"The recent email was opened, but there hasn't been any follow-up or engagement since then. The lead appears to be distant and unresponsive to further communication attempts."
e50b7515-b5a5-4691-a450-5e28ba99b472,disengaged,mix,"Lead, gönderdiğim e-postadaki linke tıkladı ancak daha fazla etkileşimde bulunmadı. İlgisi biraz mesafeli görünüyor; bu nedenle bir follow-up yapmayı düşünebiliriz. Pipeline'daki durumu izlemeye devam edeceğim."
d6686032-c65e-4495-a0f4-ba7471209356,positive_engagement,en,The lead showed interest in our offerings and asked several relevant questions during our last communication. They expressed a desire for a follow-up demo to explore our solutions further.
daebea93-20bd-48be-b89b-85c7711ca0d7,objection,mix,"Lead, pricing hakkında bazı endişeler dile getirerek daha fazla bilgi istedi. Ayrıca, demo için uygun zamanlama konusunda tereddütleri olduğunu belirtti. Fakat, iletişimde kalmak istiyor ve follow-up için bir tarih belirlemek konusunda isteklilik gösterdi."
3ec75559-60f8-46f0-9198-bd3d05c464aa,disengaged,tr,"Son görüşme sırasında, konu hakkında net bir ilgi göstermedi ve sorulara kısa yanıtlar verdi. Son etkinliği aboneliğini iptal etmek oldu. Siteye yaptığı ziyaret süresi oldukça kısıtlıydı."
d262e52a-b8e1-4164-b869-bb199ddf75a9,neutral,tr,E-posta açıldı ancak siteyle ilgili yüksek bir ilgi göstermedi. İlerleyen günlerde yeniden takip edilmesi düşünülebilir.
abc432ac-7393-4312-b49f-c43702397416,disengaged,tr,"Lead, gönderilen e-postayı açtı ancak daha fazla etkileşim sağlamadı. Siteye giriş süresi oldukça kısa kaldı, herhangi bir soruya yanıt vermedi."
85195b85-b384-4745-8e50-719566f70f52,neutral,tr,"Lead, gönderilen e-postayı açtı ancak web sitesinde çok fazla zaman geçirmedi. İlgilendiği uzmanlık alanı operasyon yönetimi ve şu an iş arayışında. Takip etmekte fayda var."
fd31b6df-f961-43ba-8e81-618ce5aabfe5,disengaged,tr,"Son e-posta açılmış ancak geri dönüş yapılmadı. Site ziyaret süresi oldukça kısa, dolayısıyla ilgisiz görünüyor. İlerleyen günlerde yeni bir iletişim denemesi yapılabilir."
18633077-5162-4cc6-8728-bc25f7a32fd1,positive_engagement,tr,"Yapılan e-posta etkileşimi sonrasında, lead’in finans yönetimi konusunda sorular sorduğu ve bir demo talep ettiği görüldü. Siteyi orta süreyle ziyaret etmesi, konuya olan ilgisini gösteriyor. Takip için uygun bir zaman ayarlamak faydalı olabilir."
3f04fd93-2884-45f6-a4fc-f3b6f234554b,disengaged,tr,"Son görüşmede, ilgi düzeyinin düşük olduğu ve ek bilgi talebinde bulunulmadığı gözlemlendi. Chat üzerinden yapılan etkileşim kısa ve yüzeysel kaldı. Takip için dönüş yapılmadı."
86681269-67b1-4909-90c0-216136535815,positive_engagement,en,The lead showed significant interest by exploring the website for an extended period and asked insightful questions about the platform's features related to Supply Chain Management. They expressed a desire to arrange a follow-up demo to delve deeper into how the solution could address their needs.
319325b3-50b3-45d0-b730-c9df0b30b9ea,disengaged,tr,"Son Olark sohbetinde, lead kısa yanıtlar vererek ilgisini belli etmedi. Siteyi ziyaret süresi oldukça kısıtlıydı. İlginin artırılması için başka bir iletişim denemesi yapılabilir."
2def8175-7a88-405a-a932-669cacf60230,disengaged,tr,"Son e-postanın okunmasına rağmen geri dönüş almadım. İlgisinin düşük olduğunu düşündüm, bu nedenle takip etmeyi planlamıyorum."
1f13cede-ebf7-4e65-84ee-7d76e86a9094,positive_engagement,tr,"Son e-posta üzerinden iletişime geçtik. Bilgilerimize ilgi gösterdi ve birkaç soru sordu. Demo talep etti, bu konuyu netleştirmek için tekrar iletişim kurmayı planlıyoruz."
8597dacd-0b33-4b4f-ad9e-a9df020afd48,disengaged,tr,"Yapılan görüşmelerde yanıt alamadı, iletişime geçme girişimleri sonuçsuz kaldı. İlgi düzeyi düşük görünüyor; herhangi bir geri dönüş beklenmiyor."
833153b1-e44b-4260-a4cc-5ef310cc548c,disengaged,mix,"Lead ile yapılan son chat conversation oldukça kısa geçti; fazla detay istemedi ve hemen konuyu kapattı. Geri dönüş yapması beklenmiyor, bu yüzden follow-up için başka bir zaman denemek faydalı olabilir. Siteyi kısa süreli ziyaret etti, bu da ilgisinin sınırlı olduğunu gösteriyor."
b9984279-2d76-41e0-a5f3-e14d6ff68f20,disengaged,en,"The lead opened the last email but hasn't responded to follow-up attempts. Website visit duration was low, indicating limited engagement."
165a8ed0-7155-4b32-bb21-b356c51e0412,neutral,en,"The individual opened the last email sent but spent a minimal amount of time on the site, indicating limited engagement. Further follow-up may be necessary to gauge interest and provide additional information."
59e722da-edff-43d9-af61-f5c8bcc986c4,positive_engagement,tr,"Lead, web sitesindeki formu doldurduktan sonra birkaç soruyla geri dönüş yaptı. IT proje yönetimi üzerine detaylar istedi ve ürün demo'su için uygun bir zaman ayarlamak istediğini belirtti. Görüşmeye oldukça istekli görünüyor."
171defdc-6c7b-4486-9a3b-527de447d2d5,positive_engagement,mix,"Lead, web sitemizi yüksek sürede ziyaret etti ve finans yönetimi konularında detaylı bilgiler arıyor. Görüşme sırasında birkaç spesifik soru sordu ve demo talep etti. Takip için uygun zamanlarını belirlemek üzere iletişimde kalmayı planlıyoruz."
d93bfdc0-4719-4f0a-ad6b-31070823dfbb,disengaged,tr,"Son e-posta açıldı ancak yanıt alınamadı. İlgilenen bir geri dönüş olmadığı görülüyor, iletişimi sürdürmek için tekrar denenecek."
d22bfe40-a444-4e97-b6b7-ccf40117710b,positive_engagement,tr,"Yapılan e-posta sonrası lead, sunduğumuz hizmetler hakkında detaylı bir bilgi almak için takip talebinde bulundu. Ayrıca, demo seçenekleriyle ilgili birkaç soru sordu ve ilgisini sürdürdüğünü belirtti. Görüşmeyi planlamak için uygun zamanları paylaştı."
b90b70b9-5e60-41a5-87da-5eb753fc3391,disengaged,mix,"Formu doldurduktan sonra pek geri dönüş yapmadı, kısa bir yanıt aldı. İlgisini çekmek için bir follow-up yapmak gerekebilir, ancak şu an için sıcak bir etkileşim söz konusu değil."
aa613715-ff22-429d-9fbb-92da56b827aa,disengaged,en,"The interaction felt distant, with minimal engagement observed. Although the last email was opened, there has been no further response or interest shown since the initial contact."
0327a12a-51cb-4782-a029-cc824e614833,positive_engagement,en,"The individual showed a strong interest in our offerings, asking several insightful questions about features and implementation. They expressed a desire for further engagement, mentioning they would like to schedule a demo to explore how our solutions could fit their needs."
dba70a60-f322-4372-b7d5-3d24026a4750,disengaged,en,"The lead clicked on the email link but has not engaged further or responded to follow-up messages. Their website visit duration was very low, indicating minimal interest at this time."
3ee81e25-e280-428d-94a8-af0178917bf5,objection,mix,"Lead, pricing konusunda bazı endişeler ifade etti ve daha fazla bilgi almak istedi. Ayrıca, demo için uygun zamanlama konusunda temkinli yaklaşarak belirli tarihler sundu. Follow-up için tekrar iletişime geçmemiz gerektiğini vurguladı."
a66b2a39-2f12-4eb4-b6e3-065d88ccf980,disengaged,mix,"Lead, son iletişimden bu yana yanıt vermedi ve siteyi çok kısa süre ziyaret etti. Follow-up için uygun bir zaman belirlemek zor görünüyor, ilgisini çekmiyor gibi. Pricing hakkında daha fazla bilgiye ihtiyaç duyup duymadığını sormak için tekrar yazmayı düşünebilirim."
ee859f2e-a35f-4d2e-980e-8163da8ca667,positive_engagement,tr,"Yapılan telefon görüşmesinde, lead operasyon yönetimi alanındaki ürünlerimize ilgi gösterdi ve daha fazla bilgi almak için bir demo talep etti. Ayrıca, özellikler hakkında birkaç soru sordu ve gelecekte nasıl bir katkı sağlayabileceğimiz konusunda meraklıydı."
34571884-9e2f-404c-bc30-d5e09309b06a,disengaged,tr,"Lead, e-posta açtı ancak dönüş yapmadı. Siteyi çok kısa süreli ziyaret etti ve konuya ilgi gösterdiği izlenimi edinilemedi. İlerleyen günlerde tekrar takip etmek faydalı olabilir."
002233e4-c3d5-4a78-b64e-fa9b7fdef393,disengaged,tr,"Lead, gönderdiğim e-postayı açtı ancak yanıt vermedi. Site üzerindeki geçirdiği süre oldukça kısa, ilgisini çekmiş gibi görünmüyor. Geri dönüş beklemekteyim."
991c2560-128d-4222-a4c6-5aa393c4fafa,disengaged,tr,"Olark sohbeti sırasında lead, sorulara kısa yanıtlar verdi ve ilgisini pek belli etmedi. İletişimde derinlik yoktu, bu nedenle takip etmek için daha fazla bilgiye ihtiyaç var."
671f2615-8210-4792-abdd-a1588060cd27,disengaged,tr,"Yapılan görüşmede lead, sunduğumuz hizmetlerle ilgili pek fazla ayrıntı istemedi ve sorulara net yanıtlar vermedi. İlgisiz bir tutum sergileyerek, iletişimi sonlandırmakta kararlı görünüyor. Takip için bir süre beklemek uygun olabilir."
ac430bc0-d235-4f54-9c2b-3d1b7e52849e,disengaged,mix,Son e-postayı açtı ancak geri dönüş yapmadı. Demo talep etme veya pricing hakkında ilgi göstermediği anlaşılıyor. Takip etmek için tekrar denemek uygun olabilir ama şu an için pek istekli görünmüyor.
fe6dff62-8217-428b-876a-ec931f251f63,disengaged,mix,"Son iletişimde geri dönüş alamadım ve gönderdiğim email bounced oldu. Site ziyaret süresi oldukça kısaydı, bu yüzden olası bir follow-up için uygun bir zaman bulmak zor görünüyor. Şu an pipeline'a dahil etmek için bir gelişme yok."
f8497fef-9593-4bb7-898c-9f736a3b67f8,positive_engagement,tr,"Son görüşmede, siteyi ziyaret ettiğini ve içerik hakkında bazı sorular sorduğunu iletti. Ayrıca, ürünün sağladığı faydaları ve bir demo talep ettiğini belirtti. İlgisini artırmak için daha fazla bilgi sağlamaya devam edilmesi gerektiği düşünülebilir."
2cd9ea36-23d7-49c3-b255-a9361a4fa81b,neutral,en,The lead visited the website but spent a short time on the page related to Operations Management. No further actions or inquiries were indicated during the visit. Follow-up may be beneficial to gauge interest.
0a943ad9-f3d5-46d7-aca0-3fdab53da0e7,positive_engagement,tr,"Yapılan e-posta sonrası lead, sunduğumuz çözümlerle ilgili birkaç soruyla geri dönüş yaptı. Tanıtım ve demo imkanı talep etti, ilgisi yüksek görünüyor. Ayrıca, marketing management alanındaki deneyimlerini paylaşarak, ihtiyaçlarına yönelik daha fazla bilgi almak istedi."
a739f33a-7d4d-4c4e-9c9c-3c30e1f48940,disengaged,mix,"Lead, gönderilen e-postayı açtı ama sonrasında herhangi bir geri dönüş yapmadı. Siteyi orta süreyle ziyaret etti ancak bu etkileşim, ilgisinin sınırlı olduğunu gösteriyor. Follow-up yapılabilir ama şu an için çok sıcak bir durum yok gibi."
895d4905-f534-4f18-915b-8d239a72b5dc,objection,tr,"Lead, ürünün fiyatı hakkında bazı endişeler dile getirdi ve içerik ile zamanlama konusunda daha fazla bilgi talep etti. Görüşme sırasında, ondan gelen sorulara karşı dikkatli bir yaklaşım sergilendi. Ziyaret süresi yüksek olmasına rağmen, karar vermeden önce daha fazla bilgi almak istiyor gibi görünüyor."
1f9032cd-77f4-453c-b84b-edd1aea26b70,positive_engagement,tr,"Lead, e-postayı açtıktan sonra ürünle ilgili birkaç soru sordu ve bir demo talep etti. İlgisini belli eden bir yaklaşım sergiliyor; operasyon yönetimi konusundaki uzmanlığıyla ilgili daha fazla bilgi almak istiyor."
3a0ce10f-d2c1-4213-a2bc-4f97bcd29699,disengaged,tr,"Lead ile kısa bir iletişim kuruldu, ancak geri dönüş alındı. Sitede geçirdiği süre orta düzeyde, ilgi düzeyinin düşük olduğu izlenimi mevcut."
d4d4ee0a-fea2-4680-b2ea-b24de9fcf0be,positive_engagement,en,"The interaction was positive, with the individual showing genuine interest in our offerings. They asked several questions during the conversation and expressed a desire for a follow-up demo to explore further."
277ad6a6-4565-4a18-a1ff-e46e03f22663,disengaged,tr,"Lead, web sitemizi ziyaret etti ancak daha fazla bilgi talep etmedi ve iletişime geçmedi. Yanıt alamadım, ilgisini çekebileceği özel bir alan belirlemedi. Durumu izlemeye devam edeceğim."
a9b219c8-a9c2-4d13-9a4d-46cfe4f70eeb,disengaged,en,"The interaction indicated a brief engagement, as the individual clicked on the email link but did not explore further on the site. Follow-up may be needed to gauge interest."
09526992-b1fb-4763-8cca-355bc5dac5e3,disengaged,mix,"Lead ile gerçekleştirdiğimiz Olark chat oturumunda, sorularına yanıt vermek için çaba sarf ettim fakat ilgisi oldukça düşük görünüyordu. Geri dönüş almadım ve follow-up için bir süre beklemek mantıklı olabilir."
ecbf9b02-90a1-4b16-b330-6d958dcfcdb2,neutral,tr,Siteyi ziyaret etti ve IT Proje Yönetimi ile ilgili içeriklere ilgi gösterdi. Ziyaret süresi yüksek olduğu için daha fazla bilgi almak isteyebilir. Takip etmeye devam edilecek.
0ab2ba94-a0f8-4f6b-adb9-6dd94d301b6e,positive_engagement,tr,"İlgili bir yanıt aldım ve birkaç soru sordu. Ayrıca, ürünlerimizle ilgili daha fazla bilgi almak için bir demo talep etti. İleriye dönük bir görüşme ayarlamak için olumlu bir zemin oluştu."
523131a0-5e9d-4f8e-9ca7-ea9e964e5788,neutral,mix,"Lead, referral sites üzerinden geldi ve son e-postayı açtı. Ancak, siteyi ziyaret süresi düşük kaldı. Takip için bir zaman planlaması yapmam gerekebilir; belki demo ve pricing hakkında daha fazla bilgi vermek faydalı olabilir."
0fc49a08-63d2-4fef-98c1-244bfd6d12a9,neutral,en,The lead opened the recent email but spent a short time on the site. Follow-up may be needed to gauge interest and provide additional information regarding supply chain management solutions.
68f496c2-0073-470f-9c3c-7fb48f060ce5,objection,tr,"Lead ile yapılan son görüşmede, sunduğumuz çözümle ilgili bazı endişelerini dile getirdi. Özellikle fiyatlandırma ve içerikle ilgili açıklamalara ihtiyaç duyduğunu belirtti. İlgisini sürdürmekle birlikte, daha fazla bilgiye ihtiyacı olduğunu hissettirdi."
db6bd360-ffc9-453d-b109-b4f0cfa6749c,positive_engagement,tr,"Lead, web sitemizi detaylı bir şekilde inceleyerek özellikle tarım ve kırsal işletmeler konusundaki çözümlerimizle ilgili sorular sordu. Takip için bir demo talep etti ve daha fazla bilgi almak istediğini belirtti. Markamızla ilgisini sürdürüyor."
3f42389c-2201-4890-ae77-4958ae8982ad,objection,tr,"Web sitemizi ziyaret ettikten sonra, içerik hakkında bazı sorular sordu ve fiyatlandırma konusunda temkinli bir yaklaşım sergiledi. Ek olarak, hizmetin zamanlamasıyla ilgili endişeleri olduğunu belirtti. İlgisini kaybetmemek için daha fazla bilgi sunmaya devam edeceğim."
e126d601-facc-4e75-b0fa-eea89ecfdea9,objection,en,"The most recent interaction indicated some hesitance regarding our pricing and how it fits into their current situation. They engaged with the chat and opened our follow-up email, showing interest, but still seem cautious about committing at this time. Further discussions may be needed to address their concerns."
72064169-4b55-4279-a9b9-340872379f12,disengaged,mix,"Lead, gönderdiğim e-postayı açtı ancak herhangi bir yanıt vermedi. Website'de geçirdiği süre oldukça kısa, bu da ilgisinin sınırlı olduğunu gösteriyor. Takip e-postası göndermeyi planlıyorum."
40e72a2f-b7bb-4a10-9c2c-45d9bedb0dde,positive_engagement,tr,"Lead, e-posta içeriğiyle ilgili bazı sorular sordu ve daha fazla bilgi almak için bir takip görüşmesi talep etti. Healthcare Management alanındaki çözümlerimize ilgi gösterdiği anlaşılıyor."
076801dc-eba3-4c64-b165-dda70397aa19,neutral,tr,"Lead, finans yönetimi alanında bilgi almak amacıyla doğrudan trafik üzerinden web sitesini ziyaret etti. Ancak son iletişim denemelerinde ulaşılamadı. Ziyaret süresi ortalama seviyelerdeydi."
62b4ee1c-1071-42bb-b50d-16412c2acce2,disengaged,tr,"Lead ile yapılan son iletişimde yanıt alamadım ve ilgisi görünmüyor. Siteyi kısa bir süre ziyaret etti, fakat daha fazla etkileşim gerçekleşmedi."
7f0c404f-3b2d-4d0e-b5e6-cc5bb0bab65d,disengaged,mix,"Web sitesinde formu doldurduktan sonra kısa bir iletişim kuruldu, ancak geri dönüşü bekleniyor. Lead'in Healthcare Management alanına olan ilgisi devam etse de şu an için bir adım atma isteği gözlemlenmiyor; follow-up için uygun bir zaman bulmak gerekiyor."
477c8243-bd09-48f5-a170-a5aa9001ab12,disengaged,en,"Followed up after the Olark chat, but there was no response. The engagement level seems low, and the lead hasn’t shown much interest in further discussions."
bc35eede-4208-461c-827e-11108a378df7,positive_engagement,mix,"Lead, chat sırasında HR yönetimi ile ilgili sorular sordu ve sistemimizi nasıl entegre edebileceği hakkında bilgi almak istedi. Ayrıca, bir demo talep etti ve pricing seçeneklerini de öğrenmek için takip edilmemizi istedi. Görüşme süresi yüksek olduğundan, ciddi bir ilgi söz konusu."
35d515d8-e851-4629-803e-492c6b576bd6,positive_engagement,mix,"Lead, finance management konusunda detaylı bilgi almak için sorular sordu ve demo talep etti. Ayrıca pricing ile ilgili de netleştirmek istediği noktalar vardı. Takip için uygun bir zaman belirlemek adına iletişimde kalmaya karar verdik."
a3f6393c-fcdf-4cb4-8d29-6da3d62ae88f,objection,tr,"Lead, teklifin içeriği ve fiyatı konusunda bazı endişeler belirtti. Ayrıca, mevcut zamanlamanın da uygun olmayabileceğine dair temkinli ifadeler kullandı. İlerleyen günlerde tekrar iletişime geçmeyi planlıyorum."
5838c43b-1dad-45ec-b46a-02db261d44b6,positive_engagement,mix,"Lead, son e-postayı okuduktan sonra bize geri döndü ve ürünle ilgili birkaç soru sordu. Demo talep etti ve fiyatlandırma hakkında bilgi istedi. Takip için uygun bir zaman belirlemek üzere iletişimde kalmayı planlıyoruz."
d103d8be-52e8-41aa-850a-6651f10641c6,disengaged,en,"The lead was contacted but did not respond to follow-up attempts. They visited the site briefly after discovering it through Google, but there seems to be little engagement since then. Further outreach may be necessary to gauge interest."
95f1c454-9f9a-40ef-b521-6fc791f103fb,objection,en,"The interaction revealed some hesitance regarding the pricing structure and the duration of the program. The individual asked specific questions about the content and timeline, indicating a need for further clarification before proceeding."
e8950460-899c-434f-9a69-3b01e3e4b94c,disengaged,tr,"Siteyi yüksek sürede ziyaret etti, ancak geri dönüş yapmadı. İlgisini çekebilecek ek bilgiler göndermeye çalıştım, ama henüz bir yanıt alamadım."
cf98ed96-ea4f-49cd-985e-028b7916a564,positive_engagement,en,"The interaction showed a strong interest in exploring solutions related to supply chain management, with several insightful questions raised. The lead expressed a desire for a follow-up demo and seemed eager to learn more about potential applications of the service in their future career."
